k,noisy,prediction,overlap_mean,overlap_median
1,20.1362298967293,22.035673423683914,21.99936121486189,21.99936121486189
2,20.15980164437449,22.078496635617995,22.17248664758661,21.39703410334644
3,20.148557583104054,22.101764701216062,22.21766305160855,22.19724145289012
4,20.177266072605796,21.979851319058255,22.291634486310233,21.860590275582737
5,20.212246598709115,22.05797807991864,22.292664344208255,22.29047514406605
6,20.170021853741904,22.05841352474011,22.278654354383043,21.987016511698858
7,20.21666014152522,22.030675064776656,22.22168637063097,22.195457797878483
8,20.17065156863128,21.985860442817685,22.32192600180841,22.099447746874944
9,20.161084775895027,22.054431837782577,22.32681930473714,22.305094925628307
10,20.158192011034842,22.03211618999522,22.270948939710387,22.09172724967202
11,20.214913396190223,22.054043943102876,22.31436812953808,22.311970578498787
12,20.1878159264144,22.06923666899586,22.28405478158679,22.13612211795301
13,20.170637155955518,22.010958662520675,22.252238503234242,22.250081224446554
14,20.146447252697328,22.027992870636318,22.25803386056913,22.13595887721418
15,20.16637262593861,21.981699962962477,22.29467680498576,22.28361350422365
16,20.175399444424315,22.07754398930815,22.263610110635494,22.159252674216013
17,20.143563439031546,22.01194845603633,22.378655648402695,22.36590094246681
18,20.148726798078677,21.937462090672334,22.367488090072012,22.268967486493565
19,20.130473965469125,22.037972384070553,22.32006184456521,22.313990658950363
20,20.174094363005366,22.067519690434466,22.307989630368805,22.211398344795494
21,20.16804090348601,22.05998163202863,22.284589531449658,22.280743135466544
22,20.14876734936838,22.013282209856616,22.281463733749987,22.197499978219298
23,20.18273955405053,22.05174099492979,22.283847689902736,22.281078765150152
24,20.18140624932518,22.020730952930577,22.305062731430635,22.218398301048698
25,20.205285729072152,22.03036544316429,22.32726434211876,22.320803628778396
26,20.183607129131154,21.90150377071457,22.297085523729997,22.22028588520278
27,20.178701285098487,22.0162573872541,22.33482920512821,22.32902636313066
28,20.141594187848387,21.997599698182782,22.34807079829163,22.283628231065666
29,20.19070359735729,22.08973961912513,22.33611480176456,22.329030436620837
30,20.162392356758332,22.05133696516537,22.303392674464035,22.25234177147182
