k,noisy,prediction,overlap_mean,overlap_median
1,0.33815473467792706,0.6476400822944197,0.652742470618945,0.652742470618945
2,0.3381771132311021,0.6509452854522219,0.6782782879557188,0.6642678543627176
3,0.3357005612238388,0.6467389042456184,0.6817591190318487,0.6715569463141738
4,0.3372134866912935,0.6535059619300561,0.685658500674162,0.6741432754262319
5,0.3369341012597729,0.6499920900389041,0.6846318435385004,0.6753071788788443
6,0.33718086603422515,0.6559043438209924,0.6917762491209767,0.6829592911057402
7,0.3379859519813047,0.6513057718425301,0.6924420863643638,0.6837214238445212
8,0.3357406409902032,0.6528044397498244,0.6926081459869834,0.6836438350397599
9,0.3366056102641052,0.6466034346958665,0.6956296063164028,0.6875294485763909
10,0.3381905194932673,0.6537770716210988,0.6970778716054697,0.6884840399747454
11,0.33743791783157207,0.6481118142673149,0.6925061203980909,0.6849409538138319
12,0.33911244655946154,0.6500417734627796,0.6959556238270194,0.6879481737851438
13,0.33681869778656226,0.6522876190774495,0.6948196818443826,0.6874335208356323
14,0.33658110287162185,0.6534092378066111,0.6957734356392827,0.6873054986878994
15,0.33859396306284173,0.6581888157459617,0.6932234837094752,0.6851339554112216
16,0.3407592817247323,0.6508890456922208,0.6994527480526358,0.6912001245984245
17,0.337850926217164,0.6535947092150961,0.6983629350608901,0.6908939296424678
18,0.33771023735923805,0.6517810339073885,0.7004602914277107,0.6921959872196111
19,0.33667090820172746,0.6525343381780451,0.6945382318856936,0.6874567054438078
20,0.3344714305853491,0.6539725275910194,0.6941584762727395,0.6874806053053204
21,0.33867345570969726,0.6560382266161747,0.6972512222463789,0.6896834621319298
22,0.34021004347556666,0.6528964237421822,0.7018274354411875,0.6946477801456958
23,0.3382938689730202,0.6503314427689146,0.6999796393801541,0.6928004462158325
24,0.33761485189213464,0.6503464888292801,0.6991801291261831,0.6920128688479303
25,0.33800571462352086,0.652590655201348,0.6982249721333078,0.6908363221112286
26,0.33673461293732276,0.6547557682044316,0.6927111108956968,0.6857099739683449
27,0.33776727137540064,0.6506804465194961,0.7010492412457813,0.6943499989709773
28,0.33724753618095615,0.6418585734637966,0.7002714037825715,0.692791296376906
29,0.3396710256695258,0.6530603572814965,0.7001446717140761,0.693328928125357
30,0.33858463868183275,0.6504491279691157,0.7000887070552805,0.6929164698200263
