k,noisy,prediction,overlap_mean,overlap_median
1,0.3102965406423183,0.7450205692838386,0.7451499323313721,0.7451499323313721
2,0.3104064000394442,0.7454232228694344,0.7682817673068376,0.7554215696318881
3,0.3103595593796129,0.744939002627724,0.7767909883055862,0.7689459306297123
4,0.3105150407699778,0.7455591568620469,0.7814306269660467,0.7728062418166365
5,0.3101037683066107,0.745252098880608,0.7838043030130808,0.7768484163815194
6,0.310356657253178,0.74541500362311,0.7856959245137648,0.7786329388733958
7,0.3103538705269261,0.745166360610612,0.786525747455341,0.7804363151169172
8,0.3104029519867024,0.7456209037634,0.7877110741697734,0.7816115540878299
9,0.3104146352388778,0.7452125167468733,0.7884177960233602,0.78285669820056
10,0.3104527101845171,0.745475291508158,0.789031411121766,0.7835179349386923
11,0.3105567331892294,0.7451044605739585,0.7895395139557229,0.78438242004399
12,0.3104495630044918,0.7453354516866325,0.7899327207954636,0.7847958433492482
13,0.31021169813427246,0.7456548764934002,0.7900768395289592,0.7852566075433931
14,0.31057747450162865,0.7453739893738973,0.7905650055975345,0.785685442369368
15,0.31046130449718295,0.7452810262381472,0.7911389563560491,0.7864976527459347
16,0.310442362454696,0.7450561200402088,0.7913166233614772,0.7866598163124852
17,0.3104284511645885,0.7454193211686371,0.7912853745658045,0.7868647989126127
18,0.31022831919310556,0.7453809727629254,0.7911727540744558,0.7867188308516898
19,0.31023380149251495,0.7450150209728077,0.791201627907191,0.7869036243074745
20,0.31028704399778434,0.7455873709218419,0.7916095455603178,0.787330539061194
21,0.310325909059487,0.7451733952449671,0.7915961281395442,0.7874395534191606
22,0.31041585965191887,0.745651842465512,0.7923565846725911,0.7881580926330178
23,0.31033890464848574,0.745462449489678,0.7919377036989862,0.787872067163085
24,0.3103857999724689,0.7453636176871681,0.7920525285943923,0.7879686872070868
25,0.3105293355976593,0.7452805990567906,0.7923769801874948,0.7884195813997625
26,0.3103334447243924,0.7459238164259747,0.7921111572283203,0.7881218219848479
27,0.3103319895558491,0.7456124430915129,0.7923892492880328,0.7885127255791011
28,0.3103461365755852,0.7455748726337904,0.7925716230229396,0.7886433606257708
29,0.31047722487268864,0.7455008421289423,0.7927016074260009,0.7888952485578878
30,0.3102729304764647,0.7451454578355701,0.7924599677429593,0.7886275714111305
