k,noisy,prediction,overlap_mean,overlap_median
1,20.149613425939634,22.369995258905902,22.32698079829234,22.32698079829234
2,20.12489681130547,22.32419744462899,22.46908243870211,21.60719371838158
3,20.208837850580572,22.2892491586169,22.66377982774411,22.630115809217525
4,20.160203017314487,22.29950994618924,22.573292458619633,22.120392055717492
5,20.16574248845697,22.3597376469397,22.66399663692472,22.63857800978379
6,20.137331765662147,22.28821678315416,22.62953152749981,22.32359758368893
7,20.126470004774987,22.25637910645179,22.668080571744813,22.623652684310535
8,20.227119522712034,22.26565319076629,22.611816178309066,22.382664736199274
9,20.188355635935263,22.32744018939373,22.684038260082783,22.660429812467378
10,20.206172069720083,22.349243282051052,22.66970993187712,22.486476869877905
11,20.17452951053921,22.253720191934875,22.666649003580606,22.665180535704668
12,20.19098127290104,22.3707717379544,22.64793423281269,22.479962291794166
13,20.17114874810637,22.34453831647333,22.648679351250728,22.63149168229031
14,20.13759695963855,22.329356118824503,22.6638083585371,22.52804750938673
15,20.15781879465822,22.379395997657248,22.638680585204835,22.61673977305356
16,20.17075889608101,22.300534489435005,22.707280652084325,22.580303935940854
17,20.193759046227264,22.320900015634844,22.70626159448178,22.70137357899655
18,20.170993961265197,22.281500192552556,22.74431351365581,22.64535751501306
19,20.156735010275728,22.358148687656882,22.71583913906276,22.71578401173703
20,20.131949201937278,22.334260038780535,22.716769464972227,22.626133629970674
21,20.171261844369482,22.34022483515321,22.67766644197614,22.65649766228777
22,20.179764259390623,22.360445711861207,22.72827369801904,22.645818565663156
23,20.180168845863147,22.41463677542519,22.649732924498387,22.64237503278338
24,20.16412951437012,22.39204656988968,22.696440147301224,22.611639436587687
25,20.17497397779949,22.272374402596302,22.719877262131224,22.70109931126782
26,20.197189124399078,22.321859870100674,22.750066078687063,22.669926003682413
27,20.149482813320812,22.271810089603697,22.706918573099358,22.698805445042662
28,20.18970416906614,22.285776718365305,22.762913796329023,22.698518505745092
29,20.215981993075637,22.26053689300317,22.64656545622234,22.633866155986606
30,20.161904201571662,22.238815630905012,22.74546165103399,22.680976610628747
