k,noisy,prediction,overlap_mean,overlap_median
1,20.173023438101417,20.254812561535157,20.249596406953565,20.249596406953565
2,20.173359238530608,20.25855469231275,20.371223005418937,19.68394276561367
3,20.176119581457357,20.2453263296886,20.418958229422834,20.388691760766456
4,20.174574492964393,20.24821238027199,20.440758831794906,20.073579125983674
5,20.17161669728461,20.253240099018846,20.453022270970113,20.428659569517162
6,20.170509916388458,20.25795365973287,20.468204615666917,20.21490939412281
7,20.171522877542607,20.253397054689493,20.465386107634018,20.445752305280458
8,20.169492168740806,20.25603694856717,20.473045672323856,20.281009610902984
9,20.172565976914044,20.250454936811327,20.475705309328976,20.458788590582003
10,20.172892556552668,20.24685772269936,20.482953364251983,20.32588188693681
11,20.177248259780804,20.25356952963883,20.482754563026212,20.46700459058371
12,20.174378844889006,20.250106659119048,20.478587247927337,20.34588929609785
13,20.17152230891415,20.25293601496707,20.483473352360893,20.469674520370646
14,20.176627656015743,20.25143939368294,20.488784909454747,20.374628228399246
15,20.171948482979936,20.25136396272144,20.488911002995906,20.47494483718137
16,20.173345540124643,20.259710555247956,20.493395408497864,20.392895754476783
17,20.173859031093986,20.249874969017224,20.492773937777915,20.480521977934227
18,20.17264048021526,20.25160232258508,20.494453210126416,20.4037509340745
19,20.16854419163472,20.25538612208394,20.488914596080043,20.47759709107645
20,20.171499723013433,20.25562331457869,20.499005832527068,20.417396096295107
21,20.173339972454592,20.254871970202938,20.49073751110262,20.479442718713052
22,20.17101027216918,20.24995833263552,20.494017221856875,20.418141408875325
23,20.172543638631623,20.260788279669587,20.491401088671335,20.47987498485667
24,20.17039578849879,20.259129211227265,20.501993060509527,20.43279681836439
25,20.176833857076254,20.256256378663977,20.495950072219348,20.484955815664936
26,20.174561991685945,20.24909651737187,20.49595150209332,20.43164097144883
27,20.171243524115845,20.24831471260082,20.495921937193472,20.486089066298504
28,20.1723538713268,20.2570221332943,20.495810162393642,20.435971139601783
29,20.172150721553237,20.252030373948713,20.492973624269148,20.48326652733717
30,20.169704982878425,20.245129959286615,20.492901255237886,20.436352533183637
