k,noisy,prediction,overlap_mean,overlap_median
1,0.2734615167810216,0.7929288396134302,0.7892912261181494,0.7892912261181494
2,0.27404656687212153,0.787333444680813,0.8190289831306498,0.8029917390784183
3,0.27433003654785104,0.7924031723472104,0.8291354652752597,0.8212997394917922
4,0.2734080573851138,0.7910206371808589,0.8311927807054075,0.8219978776234044
5,0.2746501075628064,0.7896017278526262,0.8383403919046558,0.83084127264795
6,0.2755524580420364,0.7945331848651762,0.8402335794009834,0.8323654671188101
7,0.2745585132882614,0.7892146372935959,0.8424436878543204,0.8359819683474629
8,0.2728199137460822,0.7905189752265753,0.837992663661476,0.8323095897804234
9,0.27444848917608056,0.7926463836820526,0.8428736951339674,0.8372571098569039
10,0.27560424386754917,0.7937266961171696,0.8467739624848218,0.8410073298971972
11,0.2726045417312849,0.7905443571345847,0.8426574765835149,0.8381383709598779
12,0.27312294820263033,0.791873270793567,0.83833076586332,0.8334675044222356
13,0.27373959685992216,0.7911178531095956,0.8447505157131947,0.8404595540907811
14,0.2743878985675758,0.7929914571644481,0.8432387414253052,0.8386130873885557
15,0.272444623028916,0.7951898214835904,0.8425201647646725,0.8383266758614695
16,0.2739390588912626,0.7876167765787624,0.8438226031006842,0.8398515638238739
17,0.2740312413526538,0.7937579261225954,0.8437284682851598,0.839746412857927
18,0.2751184707412941,0.7937017501867091,0.8474015725293366,0.843076918860017
19,0.27546640663413596,0.792122637196257,0.8480558794592358,0.84458376210139
20,0.2745238925780345,0.7899420780390488,0.8485260218940149,0.8446700466053779
21,0.27451514154444295,0.7866684611617958,0.8449793692193991,0.8413516463471085
22,0.2750272615495508,0.791754234957294,0.8475562470593182,0.8435698009206866
23,0.27532553828322237,0.7940979448566694,0.8448308083893735,0.8417582449252698
24,0.27424007675767065,0.7900075046555436,0.8457196834708596,0.8421460938918505
25,0.2724233304633606,0.7967789164038412,0.8449264904380707,0.8420441452526929
26,0.27483385874042265,0.7924787124418139,0.8454947480163014,0.8426276790059969
27,0.2746615577193382,0.7885973629287496,0.849016364987202,0.8459655769918579
28,0.2752569090315885,0.7883698802521291,0.8470814552351184,0.8438900429851548
29,0.27789371395256085,0.789262066219415,0.8494522763088687,0.8467071560968062
30,0.27443750243236903,0.787685692679147,0.8458727945794698,0.8429054785717828
