k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,0.3202597122003351,0.7751048805227929,0.7744722516203797,0.7744722516203797,0.7744722516203797
2,0.321032554604413,0.7755972378186288,0.8006855409944447,0.8006855409913347,0.8006855409944447
3,0.3202561484409683,0.7754153890423353,0.8094699155353393,0.8016728257125393,0.8094699155353393
4,0.3207043991645527,0.7757353128135136,0.8151782492782875,0.8113366472301271,0.8151782492782875
5,0.32066400416975116,0.7761788103020422,0.8183333393941371,0.8115470712424759,0.8183333393941371
6,0.3210372450091365,0.7771098812371962,0.8203001152992709,0.8161419062633746,0.8203001152992709
7,0.3202191991835346,0.7747196928625057,0.8203949742684017,0.8148213232483867,0.8203949742684017
8,0.3195858162728886,0.7760372384828309,0.8209581704716787,0.8171711559668698,0.8199934265634142
9,0.3207002914212168,0.7746639113366627,0.8227492157795702,0.8177853826223878,0.8217883437163003
10,0.3206722177383773,0.7760017389332666,0.8232975366985491,0.8196689927701837,0.8225228468332135
11,0.31994712374380013,0.7752805982522106,0.8239053183952492,0.819571636244232,0.8231677522853567
12,0.32030032701573063,0.7757509329258279,0.8242063846015587,0.8205922419273497,0.8234863395294786
13,0.3203168078515732,0.7771428706402391,0.8255487270291567,0.8213859862591912,0.8248503933171467
14,0.320717503487781,0.7751740469139287,0.8243166986498681,0.8209054057057138,0.823708132908487
15,0.32088193555617217,0.7760438536759471,0.8251782502272956,0.8212692065929706,0.8245432748799038
16,0.3207095847315367,0.773991393715258,0.82470196072385,0.8213626436994298,0.824110991797889
17,0.32067074345214114,0.7740911795557561,0.8247429912980304,0.8212048417465325,0.8237682166887774
18,0.320426961219965,0.7746789618972391,0.824652306385603,0.8214932988712128,0.8237312275202623
19,0.32083896172477655,0.7769037827978547,0.8261976191129005,0.8227555742634404,0.8252792594346825
20,0.32031246189161877,0.7758386810703922,0.8261613585930894,0.8230565628474167,0.8252872942756706
