k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.157203912396234,18.991018540014036,19.006239319412014,19.006239319412014,19.006239319412014
2,20.181560648110597,19.04025325543075,19.117243118512118,18.44700000950127,19.117243118512118
3,20.16244442889993,19.045294621682793,19.159418637977595,19.139221876315805,19.15941862877213
4,20.19101968071332,18.993960586905665,19.172964907222095,18.81453100231511,19.172964926501216
5,20.212171309686198,18.99885702764036,19.128518974870225,19.11252208815219,19.128518971297478
6,20.17900562025767,19.060982429852512,19.179809013280313,18.94642408262114,19.17980903877285
7,20.14809139678527,19.03909702417299,19.179972693280728,19.17286397974474,19.179972690725915
8,20.154358084206226,19.006274300650457,19.171813618903744,18.997694246825763,19.171813596728803
9,20.15278392294938,18.980722363748562,19.15733399282699,19.141318137225895,19.15733399716562
10,20.21080170370858,18.977590722802884,19.150259938346114,19.00415564299419,19.150259946389767
11,20.1387467410486,18.98684215659123,19.172846081749295,19.17012943531772,19.17284608044765
12,20.173741580935026,18.987171166457387,19.155355960135694,19.039132668698503,19.15535593728646
13,20.164761619500908,19.0053801354545,19.17102016102079,19.171206092686532,19.17102017759828
14,20.200712383337425,18.988855752231807,19.171124255485953,19.072845936248683,19.17112423889234
15,20.222724884425677,19.00012827680642,19.16992634378163,19.166299399341295,19.16992635452338
16,20.199332945496522,18.995087811884485,19.190421909179108,19.10313307156454,19.19042191731497
17,20.17316623463879,18.995436259717813,19.167679167716386,19.16939490004266,19.167679161124454
18,20.138318052382054,18.995069134320598,19.183934301087536,19.107717752781998,19.183934301130275
19,20.158119832801326,18.984050619522723,19.16055913782078,19.159590898647778,19.160559115194996
20,20.200910635233868,19.017180832357756,19.183861934648366,19.10604411555293,19.18386016105818
