k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.137741735960528,23.178680243865273,23.194111809898146,23.194111809898146,23.194111809898146
2,20.19226576530471,23.162144234215702,23.395685202184957,22.423862585049218,23.395685202184957
3,20.179030683566296,23.142955535068083,23.382199904759062,23.344482526321556,23.382199905515293
4,20.162467797567167,23.17618772194659,23.476841562966673,22.95901097607875,23.47684156521149
5,20.18546511787838,23.190298918498257,23.473929938073898,23.447719145503612,23.473929942953795
6,20.188946086775257,23.166394043585278,23.45175302175637,23.102183095427094,23.45175301733041
7,20.151791803786132,23.030697018014404,23.439488911354186,23.392703835740363,23.43948890622621
8,20.11971497687619,23.03055150043167,23.38903538988838,23.12261273934236,23.389035365227933
9,20.139801147798075,23.098127682150356,23.44219391703525,23.418922193745786,23.442193935721242
10,20.187794414524912,23.208596427218225,23.549607419183417,23.34256933411714,23.54960742094864
11,20.247773667390987,23.13047706768833,23.49584350465145,23.474373243942072,23.495843499620204
12,20.178892622291066,23.204620549454937,23.591697503356563,23.395849101286448,23.59169752739175
13,20.20118910751377,23.114155306248545,23.469501281290974,23.45475075152987,23.469501266469337
14,20.183862619184648,23.059227344100343,23.495817614775213,23.33576309363192,23.49581760458569
15,20.187592419793305,23.125574551365503,23.519222140277737,23.496103918138843,23.51922210901652
16,20.171368314360908,23.140074650970398,23.46118825795603,23.321889583970076,23.461188246360702
17,20.168244461521866,23.06560611257535,23.446559828508114,23.435651737385548,23.4465598273731
18,20.12909542584748,23.10778805823697,23.476987895117215,23.35088235765656,23.47698791851164
19,20.164471039459713,23.07670754622132,23.428751838264496,23.409928673725965,23.42875183265018
20,20.177086435546453,23.12424624511258,23.486727694189,23.368831912579658,23.48564245807808
21,20.144794090888954,23.08422523789341,23.487096581271985,23.474812660396527,23.48478280981152
22,20.121594354191323,23.149749166909093,23.48546537214233,23.37798814097348,23.48193732674207
23,20.156791696163122,23.15018033989592,23.508483817466157,23.490034071948017,23.506212701146175
24,20.184400405853044,23.153069661513875,23.510062977734293,23.4124304657916,23.507225273473825
25,20.17856000148925,23.139017053629637,23.453376863308613,23.438536590751042,23.450601283441934
26,20.15831396776794,23.079536209884736,23.513870203890352,23.42887966438603,23.513650828810576
27,20.185239159641707,23.169982750203808,23.56222052604199,23.55703209733449,23.561950031202063
28,20.14433218840708,23.136748346652723,23.516458540596577,23.441682396882836,23.51613883768853
29,20.173380292181797,23.2291088977343,23.622466989516653,23.60797093640466,23.62195990590508
30,20.15723005957841,23.01254792152472,23.440255621290795,23.360028699005866,23.440136423865386
