k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,0.24351736521320744,0.814987355569003,0.8116938967321377,0.8116938967321377,0.8116938967321377
2,0.24470572053173623,0.821307537031938,0.8477975241582846,0.8287641994136684,0.8477975241582846
3,0.24195323147937317,0.8170610065930705,0.8552584537953821,0.8473945230599836,0.8552584536418958
4,0.24340913980061044,0.8185523306500958,0.8638362656240247,0.8551129351847372,0.8638362657257624
5,0.24308486823730313,0.8175062402284702,0.8667540450518147,0.8606991395132179,0.8667540462826124
6,0.24534588831999776,0.8211604913421571,0.8703073790476464,0.8634064948188674,0.8703073801627899
7,0.2423141846863253,0.816720517559488,0.8689402578608135,0.8636852298336445,0.8689402579952759
8,0.2433955070233542,0.8168956422813203,0.8714363219331936,0.8661164000179818,0.8714363218583908
9,0.243307348343385,0.8167381898311313,0.8715300988210288,0.8673166148515402,0.8715300979790235
10,0.24308397829418757,0.81544652552159,0.8706450097117342,0.8670387523691503,0.8706450096948253
11,0.24123048396754976,0.8194654543855342,0.8733130565114762,0.8696952856172353,0.8733130552964343
12,0.2439980566823334,0.8178653213850544,0.875116246693656,0.8713345224659712,0.8751162477633896
13,0.2436533009626649,0.8231776093494498,0.8748093630964614,0.8714556918626131,0.8748093638853113
14,0.24367627556560675,0.8182217234130876,0.8732620556992222,0.8700941366174793,0.8732620551824846
15,0.24545578756671996,0.8168541304507417,0.8743947464560625,0.8715348868749926,0.8743947460941079
16,0.24275286405092164,0.8138791962236052,0.8730493687495823,0.8700995890223957,0.8730493689196837
17,0.24381788084854186,0.8154578928002463,0.8733501592919867,0.8706958972363474,0.8733501596022657
18,0.24180511917870767,0.8161017280926078,0.8726213015477421,0.8697511474988372,0.8726213004608128
19,0.24217083912179943,0.8171888174401691,0.8735379021536106,0.8713068471247659,0.8735379041050174
20,0.24271705710743136,0.8183211893187279,0.8749832026089267,0.8724414269197961,0.8749987506854241
21,0.24319802617383687,0.8163998772535163,0.8767259985568245,0.8747100097100047,0.8767223938242861
22,0.24392244970356586,0.8160714834324562,0.8750862197592731,0.872760487931039,0.8750852235536325
23,0.2427570016646012,0.8154928134686709,0.875374009716625,0.8733675020021594,0.8753310733423291
24,0.24610315972902586,0.8204797967924593,0.8758212522267732,0.8734721961589537,0.8757524996809342
25,0.24263398996195698,0.8164131329922076,0.8775963246799529,0.8753936015908813,0.877492300041847
26,0.24405935565446243,0.8217053260771402,0.8770198801710889,0.8751217643604475,0.8770055663298517
27,0.2417093310010035,0.8218435574062011,0.8750906621749641,0.8737112649637941,0.8751339902415254
28,0.24409508542215785,0.8141738552997183,0.8750303113570079,0.873073967330389,0.8749370416630575
29,0.24467783621359682,0.8209274309077216,0.8763497993022532,0.874517750573097,0.8763079594724993
30,0.24504370845271814,0.820308555036643,0.8785455050407798,0.8764899440081172,0.8784940076508181
