i,noisy_psnr,prediction_psnr,overlap_psnr_mean,overlap_psnr_median
0,20.163695980548226,21.45316958676832,21.45316958676832,21.45316958676832
1,20.163695980548226,21.452146124333893,21.452146124333893,21.452146124333893
2,20.163695980548226,21.483707880020578,21.483707880020578,21.483707880020578
3,20.163695980548226,21.44085840222855,21.44085840222855,21.44085840222855
4,20.163695980548226,21.423004924436498,21.423004924436498,21.423004924436498
5,20.163695980548226,21.403469319896384,21.403469319896384,21.403469319896384
6,20.163695980548226,21.45337725099404,21.45337725099404,21.45337725099404
7,20.163695980548226,21.422055283893826,21.422055283893826,21.422055283893826
8,20.163695980548226,21.415895181022794,21.415895181022794,21.415895181022794
9,20.163695980548226,21.434225093059528,21.434225093059528,21.434225093059528
10,20.163695980548226,21.472397271448983,21.472397271448983,21.472397271448983
11,20.163695980548226,21.44319039871518,21.44319039871518,21.44319039871518
12,20.163695980548226,21.394599884123075,21.394599884123075,21.394599884123075
13,20.163695980548226,21.422523417869414,21.422523417869414,21.422523417869414
14,20.163695980548226,21.42323707568673,21.42323707568673,21.42323707568673
15,20.163695980548226,21.446201491511868,21.446201491511868,21.446201491511868
16,20.163695980548226,21.420769563500496,21.420769563500496,21.420769563500496
17,20.163695980548226,21.433652604203225,21.433652604203225,21.433652604203225
18,20.163695980548226,21.44188082641761,21.44188082641761,21.44188082641761
19,20.163695980548226,21.46565189767671,21.46565189767671,21.46565189767671
20,20.163695980548226,21.420897849035867,21.420897849035867,21.420897849035867
21,20.163695980548226,21.496829034398786,21.496829034398786,21.496829034398786
22,20.163695980548226,21.456326985886093,21.456326985886093,21.456326985886093
23,20.163695980548226,21.451389786012772,21.451389786012772,21.451389786012772
24,20.163695980548226,21.44440246785152,21.44440246785152,21.44440246785152
25,20.163695980548226,21.40119156270922,21.40119156270922,21.40119156270922
26,20.163695980548226,21.439904158405053,21.439904158405053,21.439904158405053
27,20.163695980548226,21.510710927696124,21.510710927696124,21.510710927696124
28,20.163695980548226,21.447586224244613,21.447586224244613,21.447586224244613
29,20.163695980548226,21.46828412169615,21.46828412169615,21.46828412169615
