k,noisy,prediction,overlap_mean,overlap_median
1,20.164251207092654,18.89763966199984,18.795682850755576,18.795682850755576
2,20.168924335771724,18.83425406217546,18.884945956973848,18.25568433347833
3,20.179845396091025,18.694563681672868,18.908645725420744,18.88731484545371
4,20.240187035510218,18.82171731915474,18.89203361347857,18.57314899524034
5,20.20340342972576,18.823839376821006,18.89268996927814,18.8816572989954
6,20.16661481300354,18.802993163163112,18.915760081433714,18.693303037428134
7,20.15201334702048,18.809082353734546,18.91182684620117,18.888939972164547
8,20.139733994667704,18.781049804740867,18.941757662227722,18.77277064239407
9,20.216802332038277,18.81010801168222,18.94497396515687,18.928807567618236
10,20.16390123928206,18.850020964607904,18.906399983603816,18.759593480812356
11,20.151078036557898,18.76751312852359,18.91633384450042,18.906922616648664
12,20.16218810810785,18.79187382834449,18.896713456666628,18.7824369328637
13,20.153579501005385,18.731825380961986,18.934590851829547,18.93011546766069
14,20.187423250148974,18.788405203071925,18.90963735683436,18.806935928519277
15,20.16835990876929,18.80536548286737,18.85483290100842,18.844995773304213
16,20.210249164613682,18.776436949347893,18.896877951955503,18.811979082703495
17,20.206040182921253,18.75743808806074,18.955182303415526,18.949687738218973
18,20.135983446270316,18.787947916497643,18.92384080703469,18.844034321226182
19,20.160106791848932,18.745602209991873,18.899943830257417,18.891746567750264
20,20.18861943981691,18.80904468495906,18.94011647635706,18.869367499414317
21,20.198784481932286,18.7505102542173,18.910267651521558,18.912816905888757
22,20.162063319989375,18.837700988446297,18.937312976358758,18.87246640844671
23,20.142218632783294,18.821962667328716,18.885499400255302,18.88658601944326
24,20.17294115885406,18.763524722898815,18.917023353529522,18.85820065373145
25,20.170699029150075,18.773701410544703,18.896679401111033,18.89287844768928
26,20.161682130241708,18.816977885547605,18.926529040224295,18.869516350779687
27,20.21825781897362,18.801612902393167,18.90475134102473,18.898624029289262
28,20.16589257257636,18.769697955762826,18.911545732276455,18.857576651969666
29,20.17514023640794,18.790546894913746,18.929219030776846,18.92986927521481
30,20.192208983103153,18.77956045292215,18.93333921941167,18.889576552318978
