k,noisy,prediction,overlap_mean,overlap_median
1,0.29534673613698703,0.7150066184703645,0.7094454159968848,0.7094454159968848
2,0.2976136627504557,0.7174538200802427,0.736499757008338,0.7239839843119489
3,0.3018076206152547,0.7159798933717773,0.7449727516414236,0.7358133317973042
4,0.2983918443444735,0.7142142857660495,0.7492988107670112,0.7390339384992882
5,0.3001147160177885,0.7170297554226478,0.7550746482222518,0.7470534673437933
6,0.29925079830560813,0.7134793292176375,0.7497431562588582,0.7408482655047868
7,0.2973708329871733,0.7157476113930585,0.7548106003441689,0.7480477909684708
8,0.29937095595002555,0.713184469636684,0.7553302948971345,0.7475229037021511
9,0.29872382144615683,0.7065032573222308,0.7578531252412638,0.7514103667237484
10,0.296730829201594,0.7108471431666651,0.7548221963464351,0.7477890240564576
11,0.29881790037552647,0.7125948965666109,0.7567007955992132,0.7503153404446518
12,0.29800249486355773,0.7170071814875894,0.7530500681519402,0.7463539659829941
13,0.29798686535246444,0.7120452813470022,0.7591252112547007,0.7525014808862394
14,0.29848371149756786,0.7158365070154172,0.7585527523308564,0.7515036702525253
15,0.29897878117704063,0.7163514812212497,0.7586879402462158,0.7522471125116071
16,0.29773760214674677,0.7149279499463214,0.7583124439485646,0.7524647358211913
17,0.3001133557774591,0.7155385819790362,0.761354806322359,0.755001896432414
18,0.29977887616669374,0.715434211780787,0.7591101190127313,0.7530374952423086
19,0.29737455166807664,0.7128917942114444,0.7559572658451006,0.7499677725116961
20,0.29902873220320275,0.7131711597225396,0.7593934465078213,0.7537418186814948
21,0.2976127394897286,0.713588714963095,0.7580376774565852,0.7527701817060802
22,0.29769673939468366,0.7194310913614088,0.760384373124967,0.754624103047722
23,0.2992882309163095,0.7163517260351665,0.7597010321029003,0.7538191153697633
24,0.2985354213991932,0.7115952014384738,0.7611018816008576,0.755684745136545
25,0.29694404283344406,0.7169936909028479,0.7563504209537507,0.7511027382527258
26,0.2997421809485416,0.717802493370886,0.761616002049134,0.7558306004649048
27,0.29820969093656013,0.7164860400598768,0.7564613675033663,0.750697115271739
28,0.29742893943844223,0.7162555260387898,0.7602951746918197,0.754528836611224
29,0.298146812348202,0.7149026227599228,0.7599471241267239,0.7545112420006813
30,0.29914827148298856,0.7127561549111732,0.7573236605753373,0.7515814126971465
