k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.173128640903254,22.332659306777146,22.38598005218526,22.38598005218526,22.38598005218526
2,20.173128640903254,22.332659306777146,22.56873515305098,22.56873515363962,22.56873515305098
3,20.173128640903254,22.332659306777146,22.62770652174972,22.572683451964757,22.62770652174972
4,20.173128640903254,22.332659306777146,22.642425966984266,22.617484390671926,22.642425966984266
5,20.173128640903254,22.332659306777146,22.66278858510409,22.615289188084716,22.66278858510409
6,20.173128640903254,22.332659306777146,22.678093143195618,22.65174793168585,22.678093143195618
7,20.173128640903254,22.332659306777146,22.691151873397757,22.650669729137096,22.691151873397757
8,20.173128640903254,22.332659306777146,22.704185011240984,22.677009413347076,22.69606818175245
9,20.173128640903254,22.332659306777146,22.709351928274586,22.670305183312575,22.701792468318995
10,20.173128640903254,22.332659306777146,22.712322937170157,22.68728729906026,22.706680623055536
11,20.173128640903254,22.332659306777146,22.71610237618154,22.692509697638073,22.712369800986565
12,20.173128640903254,22.332659306777146,22.722946236939038,22.703814711828446,22.720232171968384
13,20.173128640903254,22.332659306777146,22.724934227779062,22.704537923888786,22.72224803476362
14,20.173128640903254,22.332659306777146,22.728215896778103,22.714671366114317,22.725558274199777
15,20.173128640903254,22.332659306777146,22.727943188371874,22.71055390387111,22.72439708198254
16,20.173128640903254,22.332659306777146,22.727740189228737,22.712120835333817,22.72429328181542
17,20.173128640903254,22.332659306777146,22.729706444684275,22.709691371304373,22.723693506019945
18,20.173128640903254,22.332659306777146,22.72954458039618,22.71188610807565,22.724087312857783
19,20.173128640903254,22.332659306777146,22.73051642635619,22.71282434074518,22.72497087281801
20,20.173128640903254,22.332659306777146,22.731229850250333,22.713718511712116,22.726034392291936
21,20.173128640903254,22.332659306777146,22.732306151280852,22.711905983931004,22.726716895765378
22,20.173128640903254,22.332659306777146,22.731392336745735,22.716622554789083,22.726335135173642
23,20.173128640903254,22.332659306777146,22.73403993052588,22.71825532316564,22.72946264558986
24,20.173128640903254,22.332659306777146,22.73623953335919,22.72162260050718,22.731778622645813
25,20.173128640903254,22.332659306777146,22.737192478083944,22.7226703108373,22.73323025127507
26,20.173128640903254,22.332659306777146,22.737366286527504,22.723702679822733,22.733363775288726
27,20.173128640903254,22.332659306777146,22.739861149470638,22.72642030070838,22.73575084336457
28,20.173128640903254,22.332659306777146,22.739023274154526,22.72490012046955,22.73569480242898
29,20.173128640903254,22.332659306777146,22.73978904539483,22.72369842063207,22.736308402621056
30,20.173128640903254,22.332659306777146,22.73857798849015,22.72314684625151,22.735452491573838
