k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.145437136566386,21.491863120588583,21.453013816069113,21.453013816069113,21.453013816069113
2,20.179030683566296,21.477176082549327,21.637976610498256,21.637976610479836,21.637976610498256
3,20.131431740772882,21.422411494811143,21.69711655860211,21.636011451701627,21.69711655860211
4,20.180292055890007,21.40623459923423,21.724275873264837,21.69521296641596,21.724275873264837
5,20.163998211046646,21.439123105711527,21.778721157084647,21.740193656585433,21.778721157084647
6,20.11971497687619,21.388079658510165,21.769391511104715,21.749314924826454,21.769391511104715
7,20.179004700840714,21.444753015618904,21.761163988013973,21.71853360217961,21.761163988013973
8,20.181549824031624,21.471791746189666,21.818807224387452,21.783695959924785,21.806277468821435
9,20.162341123563845,21.42534042599022,21.808686826994304,21.76813160011038,21.79813436305192
10,20.20118910751377,21.420336923203077,21.788362383160155,21.75790759178996,21.78177678458651
11,20.17080913437041,21.468707897526407,21.844843297709925,21.80509630845372,21.836814795593675
12,20.21994996051013,21.51395371252459,21.86429892653458,21.837693275475306,21.85652665510403
13,20.167087612986126,21.475928085277438,21.840235611444363,21.807911810820944,21.832947914612227
14,20.12909542584748,21.44898479947617,21.83472308081113,21.81854917970638,21.828785086898762
15,20.23801020343057,21.42432644534889,21.83103996043208,21.808329151752687,21.822770509757685
16,20.208315970176848,21.385604832230612,21.83266823308472,21.803825047635375,21.823282847262988
17,20.174869816318303,21.40602495060253,21.81838361480237,21.791127955341416,21.808540440881327
18,20.156791696163122,21.405243685353494,21.817472089441306,21.788081547174613,21.807226016804723
19,20.21511233701223,21.469512158278967,21.82893266405047,21.802493455215107,21.819834410250593
20,20.19686026572728,21.4413485655767,21.829614642222435,21.80723541625186,21.82121894336278
21,20.22459386843466,21.461412105519994,21.894210926986148,21.860643492368364,21.885041575523957
22,20.14433218840708,21.44319490612231,21.848010890108295,21.82203874938741,21.838980298637836
23,20.164251207092654,21.46920714345752,21.84077731678773,21.8156222868082,21.833173572839208
24,20.170959919979975,21.49942435175018,21.878003089273456,21.847734687303344,21.869267260651068
25,20.176139365656702,21.40163184603511,21.834778404004012,21.805769390594172,21.826850669885506
26,20.167680815989417,21.444777565824822,21.825131962525152,21.801172532716137,21.817350022200465
27,20.173975683549227,21.444185673570306,21.837411628177854,21.82084204132157,21.829587802945724
28,20.145500881339068,21.427196768163693,21.82860843223358,21.805573616168758,21.821498898034086
29,20.22856772264296,21.473764635544086,21.88541967715279,21.861130289912367,21.87758361930099
30,20.214296169584465,21.38949475036961,21.821444165491766,21.800764043253103,21.81571785513453
