k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.189796623452786,18.005021814464776,17.97348474344757,17.97348474344757,17.97348474344757
2,20.135405312558706,18.069432416824057,18.149651565409147,18.149651565424726,18.149651565409147
3,20.171932749734147,18.03670579654746,18.143048715962525,18.14920504235515,18.143048715962525
4,20.185044868978995,18.071762019619587,18.138852020821822,18.13448262698157,18.138852020821822
5,20.158949114994385,18.084459605064797,18.167774777813463,18.154322304011707,18.167774777813463
6,20.247773667390987,18.038149735626885,18.155579682709458,18.156425978700195,18.155579682709458
7,20.173554562602952,18.075410738267404,18.188616622225886,18.17195559283649,18.188616622225886
8,20.17080913437041,18.042847086119338,18.1469021645102,18.144734053948508,18.150105439386465
9,20.130425654000245,18.05516051173418,18.1507473631032,18.153117984535537,18.152964646750117
10,20.190924185930413,18.077823973447604,18.16164496905884,18.159530266313315,18.162672864229325
11,20.185604249843223,18.026871123923843,18.15409458102518,18.148383201185336,18.15355967560905
12,20.143434232401827,18.064466233183683,18.15570408730581,18.153247074390748,18.156398955945445
13,20.176299488053587,18.065212652471775,18.182197684279405,18.186295038988455,18.1845429028685
14,20.184400405853044,18.04469926602433,18.171482880899152,18.169404398781342,18.17190340247008
15,20.19382528486996,18.094523694627146,18.162069009614214,18.157750051866074,18.16118552186506
16,20.167150554129492,18.053509261588857,18.18991751697415,18.188406301132204,18.190139903221585
17,20.229768761480496,18.1631994164863,18.200566806084414,18.19677921112997,18.199657064221885
18,20.170959919979975,18.12354748002604,18.184969035984267,18.182872194378042,18.186043625371717
19,20.14821005025862,18.049410274698236,18.161556192927062,18.157844277993256,18.163122591696112
20,20.161799369382965,17.99758785886351,18.114158539952317,18.113559819561825,18.115222263284753
21,20.176038787713573,18.017386806233965,18.140347331870057,18.136859207652012,18.139483230400387
22,20.168924335771724,18.07191338426587,18.17500482488505,18.173214899292184,18.17536246349948
23,20.153348916847037,17.984788094704083,18.108407609243486,18.10224903875616,18.1089138749666
24,20.15870707253315,18.059232655482273,18.11999318090471,18.12278910158421,18.120365878481525
25,20.15753545798207,18.03242143320107,18.147653599133022,18.14910397072622,18.148434102109526
26,20.210677831781595,18.065445773981796,18.151602413261756,18.149714362300866,18.151964185727326
27,20.15377866421723,18.079107463100716,18.151937184844964,18.15545738078088,18.15376397313178
28,20.155405635049732,18.039167633655865,18.13361666089936,18.13287310412709,18.13396256592638
29,20.17154711781867,18.10183349171067,18.182750082100636,18.175927305247036,18.18235106395456
30,20.141081169982872,18.032471224409218,18.17393319971194,18.169728844625066,18.17451376935829
