k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.20499570826159,23.23140212327072,23.278338532596035,23.278338532596035,23.278338532596035
2,20.134937367237207,23.28669148222452,23.44228860482723,23.44228860557802,23.44228860482723
3,20.16132259144747,23.209492157350645,23.471956266650796,23.407242476283855,23.471956266650796
4,20.154738579491905,23.2869837926221,23.644623357624695,23.619858553038068,23.644623357624695
5,20.226848529236143,23.19841421398656,23.523165126462928,23.483756657006218,23.523165126462928
6,20.185673031200764,23.29409018206881,23.61927002557983,23.58719804147266,23.61927002557983
7,20.152164817012487,23.272585407309705,23.5951783992382,23.565102602007585,23.5951783992382
8,20.189816748747234,23.2108213896011,23.658632032062222,23.643963963993272,23.658039047829046
9,20.19134428916597,23.205044292895668,23.62267661124779,23.600036886762727,23.61782395317369
10,20.166558038705553,23.18926524880196,23.61646906187765,23.607768158033785,23.616974775036432
11,20.178023662559042,23.231900869999333,23.668711304342445,23.64457614538759,23.66645845189018
12,20.172276462554684,23.292343810554186,23.637125371585483,23.622349009072238,23.6361801323428
13,20.210570638032117,23.147366878061423,23.532993991282403,23.519505940688017,23.5336682928302
14,20.176171839042855,23.230286935708776,23.592011747532364,23.565199546825202,23.58758353546369
15,20.1510633606898,23.228981457397442,23.649804610413415,23.636549095340484,23.64622088703706
16,20.12106606253946,23.135143171064115,23.60363687468226,23.589446148646545,23.601466467777968
17,20.184386957850723,23.38117828073119,23.749244822658024,23.71715466109178,23.73946330796718
18,20.188605134813592,23.279193195858213,23.634549947849678,23.609679823808793,23.626332967494154
19,20.199063365592114,23.227228212574932,23.60715615050217,23.586507524822693,23.602123982779734
20,20.192759942118084,23.29545137759275,23.630543409960637,23.620637806717927,23.628621345524635
21,20.18929231430503,23.210324426685418,23.676655709125573,23.6592232528025,23.673866968777585
22,20.172088853026196,23.173957229129,23.642417660628645,23.620195776330664,23.636654380777564
23,20.21715092575796,23.23217821369244,23.637262138753034,23.615952670177318,23.634728711576134
24,20.1846151489776,23.300368593030317,23.64652126676703,23.62876724700876,23.644538163882984
25,20.224311113645243,23.248307191355767,23.653248604663876,23.64230844858721,23.652207969571606
26,20.18861943981691,23.266783367003132,23.715943405962552,23.694015280559437,23.713776298006074
27,20.183043507062383,23.155511729510035,23.665151948812017,23.64737145322902,23.659995224491016
28,20.17962532111079,23.25393943618145,23.68018068320417,23.668357891956916,23.677256082903906
29,20.20189528813633,23.25182379238904,23.690336291220532,23.671813505555566,23.68627302504627
30,20.170969381820708,23.188042030342974,23.628621061738095,23.61638388407701,23.627186919002618
