k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.232840015885394,20.952961506702113,20.943396044130775,20.943396044130775,20.943396044130775
2,20.17802033172794,20.958830112585037,21.20303730905865,21.20303730907993,21.20303730905865
3,20.163309689141776,20.88546077723862,21.284618282215387,21.21198272752252,21.284618282215387
4,20.152220239905038,20.900413406684358,21.34460874760625,21.297985444566425,21.34460874760625
5,20.15150093528851,20.832063908172188,21.32974902745046,21.25749813807043,21.32974902745046
6,20.14966688732562,20.934370448828567,21.40634820924422,21.35440593038526,21.40634820924422
7,20.159723408189084,20.925562459162187,21.40490690099692,21.35087544028032,21.40490690099692
8,20.170507667014576,20.859048712563734,21.376918405005174,21.33014361085067,21.356967215419186
9,20.176810093952383,20.95746242868854,21.44115758327868,21.37342737583281,21.421765513212932
10,20.16843036754681,20.870212987572124,21.370407644763446,21.31192806509798,21.352640805547228
11,20.157482785400003,20.846518696968165,21.395942627180602,21.326786662425743,21.37742747575222
12,20.167667512592274,20.95043006284031,21.42377399245486,21.377976236219226,21.40836194456359
13,20.15312390470566,20.933300757848016,21.42343462495887,21.37022673729433,21.408940117858954
14,20.16654244379874,20.92179550885344,21.441024908784037,21.39253863760552,21.425741013146258
15,20.199063365592114,20.884150978772553,21.44004547371305,21.379382555887837,21.424876359522344
16,20.185342571665753,20.874407848170744,21.40933818357044,21.3577242951828,21.395320681219026
17,20.178240431910236,20.92416416121136,21.445388380789122,21.396525844551824,21.424644705914446
18,20.206120043946196,20.87805139185609,21.417403904331543,21.371325569145792,21.397269067962654
19,20.162263767813737,20.932409373141287,21.464716321204044,21.417106676597,21.446769746352885
20,20.14720643092357,20.937700102263644,21.441363136768878,21.3954158512706,21.42241084794348
21,20.150840073859836,20.903181694201084,21.42427064189627,21.374677485560806,21.404352307106915
22,20.182881789661717,20.934313993457433,21.448016816086927,21.396326508640332,21.42900669948827
23,20.19665269908197,20.939657951124623,21.48617330208053,21.44107625404585,21.468773807041575
24,20.185915412259263,20.9611343791954,21.49529958237523,21.44478584721795,21.475452986605905
25,20.189036631045575,20.89828920261176,21.44842143740787,21.402140946901124,21.430496458232213
26,20.201693657376303,20.920803345734335,21.454193614660362,21.406501339075493,21.436517485361897
27,20.171384077928856,20.89230423914583,21.421683215215204,21.371070337311405,21.403588022865595
28,20.188683687757212,20.95235886530507,21.462970229057255,21.410775146830492,21.44679595204151
29,20.14999570275728,20.87337524252519,21.417902910508815,21.371634709033245,21.401851433384632
30,20.182226791845736,20.920903442053977,21.43090279308989,21.383549220132124,21.415924234918194
