k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.185853338958545,16.651634886644516,16.62921293815539,16.62921293815539,16.62921293815539
2,20.170133178195382,16.586829761233858,16.649991915397948,16.649991915348185,16.649991915397948
3,20.158780964308058,16.64630286796375,16.704067164387585,16.703321068554228,16.704067164387585
4,20.153841814000522,16.623591045189837,16.654158288869837,16.654842762592573,16.654158288869837
5,20.159723408189084,16.6193006136977,16.698153851007202,16.697602548337912,16.698153851007202
6,20.156964652133883,16.674441684018422,16.697764473014725,16.692779815608183,16.697764473014725
7,20.128269704380735,16.66412807310732,16.69108166368878,16.687907752852638,16.69108166368878
8,20.176933592622337,16.63768389570281,16.70625222185048,16.701703238188422,16.706020920206317
9,20.18596362031497,16.606298890337815,16.69555799006013,16.68878980629046,16.696245567924528
10,20.182530573669656,16.599911953767073,16.675463851886157,16.671781038214295,16.67577631622645
11,20.177080123736907,16.64137484545081,16.701783114972205,16.693529008537546,16.70086585397297
12,20.185342571665753,16.607478700729533,16.68187722306047,16.683747148404926,16.68406182895281
13,20.180764520269662,16.66732875259583,16.702973034789597,16.70271815339727,16.704996616403026
14,20.183542395253028,16.653834145667023,16.70455677660547,16.704019948188044,16.70449793993752
15,20.224311113645243,16.612435577111093,16.687819595441983,16.686847982900513,16.68894877142844
16,20.209695870061207,16.607537968343486,16.670029449965142,16.669903842027043,16.671500932186
17,20.188050404200105,16.63027861486899,16.698274005483572,16.701194788603345,16.698555341048223
18,20.173579346943313,16.609958976244307,16.68175731665235,16.685524371127695,16.683798557065003
19,20.189036631045575,16.635603069251292,16.705647048814694,16.703534499922913,16.705661790396523
20,20.17583515322791,16.5889339169063,16.684144726593473,16.682614087627115,16.685214362058076
21,20.15307537698701,16.6619829235295,16.692344565499095,16.68882791419041,16.694154652912353
22,20.154190445418468,16.635943698155323,16.719753691380436,16.7247846919279,16.721285388667532
23,20.138845458051605,16.591696629314306,16.65214576592184,16.65121956854879,16.653252177676766
24,20.202340985378207,16.608794503773,16.67436886105808,16.676465869084996,16.67527839951009
25,20.207777011320147,16.659260803975663,16.717035057825843,16.72225636733217,16.718971389373507
26,20.177606799510986,16.603718021096352,16.67752947809372,16.67940905847204,16.678492229836067
27,20.18385239817991,16.595323534632712,16.671177296435026,16.66636905801257,16.671056721074034
28,20.137144442853604,16.62826203522753,16.667226495376045,16.66661901794962,16.66863750311911
29,20.19089705363246,16.622517010653162,16.70115737557117,16.70128389206427,16.7016126199445
30,20.15392101993177,16.64623960902416,16.7059741635613,16.705497642505524,16.70600942391433
