k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.17259950912339,20.279436685750603,20.274615776355166,20.274615776355166,20.274615776355166
2,20.172095330060287,20.28300592168581,20.407259831775374,20.40725983177456,20.407259831775374
3,20.17068557272231,20.282044105932155,20.446097062501774,20.415713571517532,20.446097062501774
4,20.171260068721246,20.275268768391584,20.46900610780988,20.453110195868287,20.46900610780988
5,20.174419786440396,20.27371325982547,20.481413206058196,20.456208763239353,20.481413206058196
6,20.175412166491682,20.278925654264047,20.49378017188163,20.47874886797195,20.49378017188163
7,20.171067570867564,20.281997956155287,20.50235383277894,20.48094312662242,20.50235383277894
8,20.173198930645725,20.280043074167246,20.50406220353414,20.490995111546958,20.500288612310662
9,20.17421679257195,20.28249444413484,20.506681317385333,20.487999503326527,20.502587667373703
10,20.171715906811116,20.280056047404283,20.512490672713106,20.49871469898595,20.50895753982047
11,20.174682599798885,20.27468198560132,20.512002981717135,20.495232498915286,20.50867432051362
12,20.173291434458896,20.28504010089678,20.517647099550278,20.504324248714127,20.514899675770796
13,20.174352791693426,20.27861304802977,20.514601254703276,20.499124432736885,20.512186688006985
14,20.173947409769593,20.278415085269966,20.517240266029233,20.50470687307836,20.51471820879902
15,20.177752798746067,20.27963907367717,20.51917343353036,20.50551836925879,20.516878484595804
16,20.174546009512458,20.276335675616235,20.522375136100887,20.51017705837894,20.52017004286521
17,20.173494453320053,20.285669429182647,20.523826920975495,20.510625724654744,20.520093642881953
18,20.173742709785504,20.27669354056104,20.520055888803455,20.5088070823746,20.516399051694883
19,20.175362180016045,20.281203529481385,20.521482477961946,20.508636902341728,20.517955562280644
20,20.1761552111294,20.28030003512156,20.52393030264338,20.513309447748355,20.520775190211417
21,20.171711093663514,20.28221828605718,20.524858805754775,20.513278251731112,20.52170552251564
22,20.17064470651998,20.281301316069364,20.52263091870658,20.511710525901908,20.519491445366203
23,20.17001538536626,20.278643666394064,20.52363142854848,20.511931781203046,20.520548736141514
24,20.175770376240358,20.28643032647731,20.53066521495565,20.51990892650215,20.527761770884705
25,20.1723920789991,20.2862245356305,20.532419301841145,20.52196020497582,20.529751769578937
26,20.173407819668586,20.282915146236164,20.529503396692448,20.51909129883417,20.52665295628777
27,20.175029238425513,20.27931209149127,20.525783112064172,20.515753589528742,20.52320496154483
28,20.17319633481018,20.27496818407538,20.52400957432373,20.5139583055104,20.521494925759427
29,20.169602783315955,20.288024869601724,20.535433385835137,20.524562373233923,20.53285740441338
30,20.173185168621178,20.28073446103899,20.53041424425003,20.52014194606213,20.5280394384763
