k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,0.22535647266854922,0.8074075693376612,0.8095209755667246,0.8095209755667246,0.8095209755667246
2,0.22571519043739635,0.8096052103299902,0.8327300466342726,0.832730046627044,0.8327300466342726
3,0.2237717741904818,0.8079033605046759,0.8395329598645065,0.8329746774214811,0.8395329598645065
4,0.22369613768443297,0.8103669667665602,0.8429485254196359,0.8404823297503144,0.8429485254196359
5,0.2238211665322053,0.8089091335459622,0.8419386748685159,0.836222057192269,0.8419386748685159
6,0.2246842298724228,0.8147265793302307,0.8486345986496427,0.8458138984444376,0.8486345986496427
7,0.2258222627165893,0.8087853283505535,0.8480453147892447,0.8435364864168419,0.8480453147892447
8,0.22459659190336057,0.8137262274099486,0.8503828201122791,0.8471005499251969,0.8497928079066144
9,0.22393088205119163,0.811877492513963,0.8482941768628746,0.8441591795223781,0.8476198158463693
10,0.22502242499962716,0.8078570261995425,0.8505657002459325,0.8475258781077883,0.8501359345634787
11,0.2224729709193857,0.8092115670873875,0.8490472217921531,0.845478885370625,0.848527177643174
12,0.2247725177478854,0.8076052770375954,0.851047160434773,0.8489186941891893,0.8507365179611271
13,0.22702727702519762,0.8129379670606033,0.8547425644043223,0.8515219114893349,0.8543098033495846
14,0.22531319478646966,0.8103700675428644,0.8533391334963554,0.8504155803972493,0.8528161211512131
15,0.22471734771190888,0.8097946842912324,0.8520288390905288,0.8493775773974519,0.8517841037274918
16,0.22482097018475514,0.8115121643195573,0.8514127381158618,0.8487898999650689,0.8511353615353915
17,0.2276301028689868,0.8097539172753238,0.8535538761393427,0.850545949628251,0.8528459092973675
18,0.22671849479676506,0.811924901319003,0.8539861459226641,0.8520910200898589,0.8535831219408053
19,0.22449256209945329,0.810018748415857,0.853665140543496,0.8517801313648508,0.8534212004474255
20,0.22512614462641434,0.8114410581884103,0.8527194559782632,0.8504039816016523,0.8521811532565571
21,0.22654986384865913,0.8106456810792457,0.854151745463461,0.8518152271107917,0.8538023586262479
22,0.2262716997125024,0.8175216275405496,0.8568847782087126,0.8544136641001174,0.8561923332413385
23,0.2236692102568758,0.8115173490035575,0.8526052397063068,0.850172463440235,0.852092727405727
24,0.22532835880209562,0.8115833757813034,0.8547116934484691,0.852641537873355,0.8542607707148868
25,0.2254632905508337,0.8114470348763494,0.8518572258905736,0.8493413682493084,0.8513293931273067
26,0.22543606296486204,0.8084953892742895,0.8539985392030234,0.8520091936598472,0.8535264678615639
27,0.22528448398210674,0.8085257953416924,0.8539811199001917,0.8519997757899873,0.8536229706062943
28,0.22447711933975434,0.8138248415505546,0.8561742349465193,0.8540245853840556,0.8557453190273818
29,0.22561989545720842,0.8072757097457596,0.8543390124897909,0.8520391416197387,0.8539421672184736
30,0.22622488096127108,0.8074578033355908,0.8530925391718076,0.8512834750951426,0.8527677323900005
