k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,0.6225820840460679,0.5630405068424585,0.5654957429756795,0.5654957429756795,0.5654957429756795
2,0.6195763108994211,0.5638405367408493,0.5798647738556219,0.5798647738242899,0.5798647738556219
3,0.6193098380800806,0.5616211568571106,0.5836978994854335,0.5763920108319323,0.5836978994854335
4,0.617673778871114,0.5571914087651084,0.5867828415889453,0.5812242367281216,0.5867828415889453
5,0.6164451578275975,0.5535901482886958,0.5851315468400761,0.5773602213672766,0.5851315468400761
6,0.6170813189704956,0.5660517206196346,0.5878800640162378,0.5812195700610387,0.5878800640162378
7,0.6183451810758195,0.562624049198622,0.5919425258499871,0.5840421720952675,0.5919425258499871
8,0.6200796627140495,0.5578689215547269,0.5870062338666463,0.5791967230780191,0.5829961163282381
9,0.6181661267427832,0.5668299691139501,0.5916474442113264,0.5838155160627155,0.5881968074141903
10,0.6189183407904212,0.5600789414799241,0.5899997597263642,0.5822143710876985,0.5866069772503266
11,0.6197521698962389,0.561957104374894,0.592833550075386,0.5844008417206711,0.5896068424030505
12,0.617481387141595,0.5619296768238189,0.5891553747606212,0.5817203910384388,0.5861583163443895
13,0.619116431181962,0.5669968193638377,0.5931402447192677,0.5851162798380345,0.5900877364364924
14,0.6167661279725367,0.5626460662649616,0.5896735919611592,0.581722400144979,0.5867449337826498
15,0.621566275932571,0.5633845238229457,0.5905049482381856,0.5822790963923754,0.5875408124463017
16,0.620508216355794,0.5635742862945042,0.5910784495633014,0.5824989235038216,0.5882410492397614
17,0.6201132747029573,0.562659220135239,0.5886189827666621,0.5802155604334719,0.5842927643446566
18,0.6211044707695786,0.5568025592407325,0.5916468405901776,0.5836378349504079,0.5874689914212529
19,0.6182175612857774,0.5642194776628827,0.5926542342021794,0.5848870952806752,0.5889238953321715
20,0.6169672479281202,0.5658762151255408,0.5929402132753616,0.5847102897451004,0.5888695447093232
21,0.6177985924735978,0.5614589594732003,0.5903144819927761,0.582257803060263,0.586399082815232
22,0.6182254752827454,0.5610306786969029,0.5893444477834091,0.581111171145459,0.5855168788352739
23,0.620986596626329,0.5703851381130061,0.596547194721922,0.5881293610379993,0.5927345547274349
24,0.6191186158970334,0.5628661178930346,0.5941340184668615,0.5862032471110084,0.5906566518689671
25,0.619497746982535,0.5609887525429168,0.5923604630919221,0.5842532633324502,0.58884153631052
26,0.6209995572941195,0.5613154533948903,0.5899593612150195,0.5816898654323669,0.5864646764414393
27,0.6187784079072349,0.5612835337548286,0.5903412110983937,0.5820726927132928,0.5867915509616395
28,0.6193981691432542,0.5647302963779912,0.5931075146241527,0.584738012229006,0.5897287377795924
29,0.6177638513862547,0.5644981049762475,0.5936885538889672,0.5849868417806603,0.5903725267032013
30,0.6169644388689715,0.5607227337936987,0.5903095440257866,0.582090618466926,0.587157112136657
