k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,0.23801873065465168,0.8229837414721435,0.8257054312186739,0.8257054312186739,0.8257054312186739
2,0.23661183953271786,0.8302156726322307,0.848855595744292,0.8488555957344799,0.848855595744292
3,0.23654436992353312,0.8222516026595813,0.860444171596271,0.853019908525412,0.860444171596271
4,0.23392962540288195,0.8235524372025435,0.8626378166081807,0.8600071061349779,0.8626378166081807
5,0.23749753364779408,0.827656429477636,0.8670330361108752,0.8615995079359866,0.8670330361108752
6,0.23752194228099685,0.8252766995269694,0.8678990062648022,0.8652095570466154,0.8678990062648022
7,0.23637455810660263,0.8279992279215208,0.8677813638662742,0.863810072726827,0.8677813638662742
8,0.23526548036916275,0.8268649685327069,0.8681215355778309,0.8652588215204862,0.8676856451780476
9,0.23607598283798334,0.8241864852646552,0.8737411116445059,0.8701839205050502,0.8735491959412494
10,0.23543532302452805,0.8309023289110642,0.8729148758944846,0.8699417059348045,0.8725824566129601
11,0.23634937962437413,0.8252880703479465,0.8712220104147684,0.8682998839224206,0.8711470366295196
12,0.23821701684497018,0.8301058931945013,0.874450199163835,0.8717592162213444,0.8742211075301579
13,0.23560444269343464,0.8244296007326896,0.8716466523543228,0.868937990043089,0.8715930255446395
14,0.23565757592118067,0.8237624744381906,0.8714702243778261,0.8690542899778604,0.8712954454463916
15,0.23709545463618056,0.8259848531789057,0.8733184085054321,0.870758140004639,0.8732879312239876
16,0.23607641279344513,0.8333463112467691,0.8741689694704502,0.8718053629687869,0.8740026338807307
17,0.23620984302274367,0.8276798128930499,0.8728740175392625,0.8705974455491545,0.8726286318715959
18,0.23466852780673333,0.8269063837983338,0.8729704089455048,0.8711155547952433,0.8728337069539663
19,0.23643453300861902,0.8270351224050427,0.8744313098329975,0.8722710710947426,0.8741491710195339
20,0.23502459764067155,0.8287711062990153,0.8732569061656603,0.8711526262896863,0.872867579926919
21,0.23488508566467473,0.8278655352251629,0.8723213271839816,0.8704811156389708,0.8722354565935188
22,0.2353372085910224,0.8282542636642484,0.8706333768481644,0.8687562394161297,0.8703712273634335
23,0.23549173735621187,0.8261288099549755,0.8727555776110464,0.8707576542390224,0.8725228058525882
24,0.23611522403070628,0.8289131947670859,0.8758247899612106,0.874245546483589,0.8756873592224271
25,0.23472869616257686,0.8255002855776131,0.8723515157815085,0.8706313615773604,0.8722278358550585
26,0.23761285583367334,0.8271029981807045,0.8759158807548869,0.874206602821193,0.8757406474347488
27,0.23573028398722104,0.8278850941219447,0.8751034977258272,0.8733369645409026,0.87495548471441
28,0.2358155883734412,0.8291173851138297,0.8750890607635763,0.8737919922722969,0.8750218784162389
29,0.23791661432610087,0.827449667261177,0.8758643747724794,0.8740758762650067,0.8756483212869987
30,0.23711416979352715,0.8267625827604509,0.8749444734758833,0.8732289177027491,0.8747377990354926
